year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0.000496031746031746	1	2016
1949	0.0003996802557953637	1	2502
1950	0.0003606202668589975	1	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0.0002621231979030144	1	3815
1960	0.0005298013245033113	2	3775
1961	0.00045320643553138455	2	4413
1962	0.00023998080153587713	1	4167
1963	0.0004363953742090334	2	4583
1964	0.0006006006006006006	3	4995
1965	0.0009319664492078285	5	5365
1966	0.0003629764065335753	2	5510
1967	0.000532103582830791	3	5638
1968	0.00016716817118020728	1	5982
1969	0.0008629616845012082	5	5794
1970	0.0006726080376660501	4	5947
1971	0.00039936102236421724	2	5008
1972	0.0008089305937550558	5	6181
1973	0.00016891891891891893	1	5920
1974	0.0005719733079122975	3	5245
1975	0.0006042296072507553	3	4965
1976	0.0007780587434351293	4	5141
1977	0.0009260974254491572	5	5399
1978	0.0010851871947911015	6	5529
1979	0.0028414472437961733	15	5279
1980	0.0005535055350553505	3	5420
1981	0.0007506098705197974	4	5329
1982	0.0013160368490317729	7	5319
1983	0.000946073793755913	5	5285
1984	0.001314800901577761	7	5324
1985	0.002099737532808399	12	5715
1986	0.0019282684149633628	10	5186
1987	0.0018284878405558603	10	5469
1988	0.0010895224260032686	6	5507
1989	0.002615062761506276	15	5736
1990	0.0015789473684210526	9	5700
1991	0.0013580037345102699	8	5891
1992	0.002843760455001673	17	5978
1993	0.0006712535660345696	4	5959
1994	0.0014927848731132857	9	6029
1995	0.0017120622568093384	11	6425
1996	0.0013621916149538368	9	6607
1997	0.0009260974254491572	5	5399
1998	0.0024813895781637717	9	3627
1999	0.0019807583474816073	14	7068
2000	0.002796692607003891	23	8224
2001	0.003312689039320179	23	6943
2002	0.0030680728667305847	16	5215
2003	0.004445679355376493	32	7198
2004	0.0022448368751870696	15	6682
2005	0.0022727272727272726	14	6160
2006	0.001729106628242075	6	3470
2007	0.005717008099094807	12	2099
2008	0.0013474667624865254	15	11132
2009	0.0013110846245530394	22	16780
2010	0.0011706555671175858	18	15376
2011	0.001770152505446623	26	14688
2012	0.0014979926897956738	25	16689
2013	0.0009897379798926916	19	19197
