year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0	0	5638
1968	0	0	5982
1969	0	0	5794
1970	0	0	5947
1971	0	0	5008
1972	0	0	6181
1973	0	0	5920
1974	0	0	5245
1975	0	0	4965
1976	0	0	5141
1977	0	0	5399
1978	0	0	5529
1979	0	0	5279
1980	0	0	5420
1981	0	0	5329
1982	0	0	5319
1983	0	0	5285
1984	0	0	5324
1985	0	0	5715
1986	0	0	5186
1987	0	0	5469
1988	0	0	5507
1989	0	0	5736
1990	0	0	5700
1991	0	0	5891
1992	0	0	5978
1993	0	0	5959
1994	0.0011610549013103333	7	6029
1995	0.00669260700389105	43	6425
1996	0.005600121083699107	37	6607
1997	0.005371365067605112	29	5399
1998	0.0016542597187758478	6	3627
1999	0.0019807583474816073	14	7068
2000	0.0048638132295719845	40	8224
2001	0.0018723894570070575	13	6943
2002	0.0003835091083413231	2	5215
2003	0.0006946373992775772	5	7198
2004	0.00074827895839569	5	6682
2005	0.0011363636363636363	7	6160
2006	0.0011527377521613833	4	3470
2007	0.0014292520247737017	3	2099
2008	0.001167804527488322	13	11132
2009	0.000834326579261025	14	16780
2010	0.0003902185223725286	6	15376
2011	0.0006808278867102397	10	14688
2012	0.0010186350290610582	17	16689
2013	0.0008855550346408293	17	19197
