year	portion	word_count	total_count
1945	0	0	276
1946	0.0006605019815059445	1	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0	0	5638
1968	0	0	5982
1969	0	0	5794
1970	0.00016815200941651252	1	5947
1971	0.00019968051118210862	1	5008
1972	0.00016178611875101117	1	6181
1973	0.00016891891891891893	1	5920
1974	0	0	5245
1975	0	0	4965
1976	0.00019451468585878233	1	5141
1977	0.00018521948508983145	1	5399
1978	0.00018086453246518358	1	5529
1979	0	0	5279
1980	0	0	5420
1981	0.0003753049352598987	2	5329
1982	0	0	5319
1983	0	0	5285
1984	0.0003756574004507889	2	5324
1985	0	0	5715
1986	0.0001928268414963363	1	5186
1987	0.00018284878405558602	1	5469
1988	0.00018158707100054475	1	5507
1989	0.00017433751743375174	1	5736
1990	0.00017543859649122806	1	5700
1991	0.00033950093362756747	2	5891
1992	0.0006691201070592171	4	5978
1993	0.0005034401745259272	3	5959
1994	0.0013269198872118096	8	6029
1995	0.000622568093385214	4	6425
1996	0.0010594823671863176	7	6607
1997	0.0007408779403593258	4	5399
1998	0.0013785497656465398	5	3627
1999	0.0009903791737408036	7	7068
2000	0.0014591439688715954	12	8224
2001	0.001440299582313121	10	6943
2002	0.0009587727708533077	5	5215
2003	0.0013892747985551543	10	7198
2004	0.001197246333433104	8	6682
2005	0.0017857142857142857	11	6160
2006	0.001440922190201729	5	3470
2007	0.0023820867079561697	5	2099
2008	0.0017966223499820337	20	11132
2009	0.0017878426698450535	30	16780
2010	0.001040582726326743	16	15376
2011	0.0016339869281045752	24	14688
2012	0.0014380729822038468	24	16689
2013	0.0024482992134187633	47	19197
