year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0.0018126888217522659	3	1655
1948	0.000496031746031746	1	2016
1949	0.0003996802557953637	1	2502
1950	0.00144248106743599	4	2773
1951	0.00035523978685612787	1	2815
1952	0	0	2914
1953	0.0003297065611605671	1	3033
1954	0	0	3257
1955	0	0	3852
1956	0.00026062027625749283	1	3837
1957	0	0	3839
1958	0.0002674511901577962	1	3739
1959	0	0	3815
1960	0	0	3775
1961	0.00022660321776569228	1	4413
1962	0	0	4167
1963	0.0002181976871045167	1	4583
1964	0.0002002002002002002	1	4995
1965	0.0001863932898415657	1	5365
1966	0.00018148820326678765	1	5510
1967	0.000177367860943597	1	5638
1968	0.00016716817118020728	1	5982
1969	0	0	5794
1970	0	0	5947
1971	0	0	5008
1972	0	0	6181
1973	0	0	5920
1974	0.00019065776930409913	1	5245
1975	0	0	4965
1976	0	0	5141
1977	0.0003704389701796629	2	5399
1978	0.00036172906493036716	2	5529
1979	0.0005682894487592347	3	5279
1980	0.00018450184501845018	1	5420
1981	0.0003753049352598987	2	5329
1982	0	0	5319
1983	0	0	5285
1984	0.0005634861006761833	3	5324
1985	0.00034995625546806647	2	5715
1986	0.0001928268414963363	1	5186
1987	0.00018284878405558602	1	5469
1988	0	0	5507
1989	0.00017433751743375174	1	5736
1990	0	0	5700
1991	0.00016975046681378373	1	5891
1992	0.00016728002676480428	1	5978
1993	0.0003356267830172848	2	5959
1994	0.0001658649859014762	1	6029
1995	0.000311284046692607	2	6425
1996	0.00015135462388375965	1	6607
1997	0.0007408779403593258	4	5399
1998	0	0	3627
1999	0.0007074136955291454	5	7068
2000	0.0007295719844357977	6	8224
2001	0.0007201497911565605	5	6943
2002	0.0011505273250239693	6	5215
2003	0.0001389274798555154	1	7198
2004	0.0010475905417539658	7	6682
2005	0.000974025974025974	6	6160
2006	0.0005763688760806917	2	3470
2007	0.0004764173415912339	1	2099
2008	0.00035932446999640676	4	11132
2009	0.00011918951132300358	2	16780
2010	0.0001951092611862643	3	15376
2011	0.00006808278867102397	1	14688
2012	0.00041943795314278864	7	16689
2013	0.0001562744178777934	3	19197
