year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0	0	5638
1968	0	0	5982
1969	0	0	5794
1970	0	0	5947
1971	0	0	5008
1972	0	0	6181
1973	0	0	5920
1974	0	0	5245
1975	0	0	4965
1976	0	0	5141
1977	0	0	5399
1978	0	0	5529
1979	0	0	5279
1980	0	0	5420
1981	0	0	5329
1982	0	0	5319
1983	0	0	5285
1984	0.0011269722013523666	6	5324
1985	0.0005249343832020997	3	5715
1986	0.002699575780948708	14	5186
1987	0.004936917169500823	27	5469
1988	0.004539676775013619	25	5507
1989	0.0036610878661087866	21	5736
1990	0.0033333333333333335	19	5700
1991	0.0027160074690205397	16	5891
1992	0.003011040481766477	18	5978
1993	0.0033562678301728476	20	5959
1994	0.0029855697462265714	18	6029
1995	0.001867704280155642	12	6425
1996	0.0016649008627213561	11	6607
1997	0.0024078533061678087	13	5399
1998	0.00027570995312930797	1	3627
1999	0.00042444821731748726	3	7068
2000	0.0019455252918287938	16	8224
2001	0.0010082097076191847	7	6943
2002	0.0007670182166826462	4	5215
2003	0.0008335648791330926	6	7198
2004	0.00074827895839569	5	6682
2005	0.00016233766233766234	1	6160
2006	0.00028818443804034583	1	3470
2007	0	0	2099
2008	0.00026949335249730504	3	11132
2009	0.00023837902264600716	4	16780
2010	0.0003251821019771072	5	15376
2011	0.00034041394335511985	5	14688
2012	0.0003595182455509617	6	16689
2013	0.00010418294525186227	2	19197
